LaneIndex,Block,Row,Column,PeakStart,PeakEnd,PeakCenter,PeakHeight,PeakFWHM,PeakArea,"Well Center, X (pixels)","Well Center, Y (pixels)"
5618,15,1,18,330,615,470,1498.84950513882,90,152334.542979202,11412.5,2350
5622,15,1,22,355,630,485,1111.30717707505,90,109082.449581236,11572.5,2350
5626,15,1,26,375,610,495,1150.32953439204,90,107672.889111209,11732.5,2350
5631,15,1,31,340,630,490,1279.63561619781,95,131528.533472355,11932.5,2350
5653,15,2,13,310,605,470,3990.26318067609,90,403002.577762047,11212.5,2530
5665,15,2,25,335,615,475,1443.14824561858,90,143425.880300113,11692.5,2530
5670,15,2,30,330,620,475,831.261253238033,90,82892.788279948,11892.5,2530
5682,15,3,2,80,195,135,553.78445312607,40,22791.212591555,10772.5,2710
5684,15,3,4,330,625,475,1581.2728920016,95,160664.350743382,10852.5,2710
5710,15,3,30,400,700,545,611.016489852838,95,64515.3104161629,11892.5,2710
5720,15,3,40,330,610,465,2223.20623754162,90,217702.611476395,12292.5,2710
5753,15,4,33,350,605,475,1251.07919679824,85,117449.731907598,12012.5,2890
5760,15,4,40,345,620,480,3815.05324964401,90,376333.407320207,12292.5,2890
5785,15,5,25,360,630,470,189.290699354782,90,19712.8562260724,11692.5,3070
5794,15,5,34,335,625,480,422.058582261345,90,41435.7460603492,12052.5,3070
5796,15,5,36,300,600,460,6617.12506752272,90,682106.786358196,12132.5,3070
5806,15,6,6,345,625,485,2170.04718633011,90,215376.475447368,10932.5,3250
5823,15,6,23,335,635,475,1086.57599709282,90,107737.497459203,11612.5,3250
5826,15,6,26,350,610,480,1935.40611783148,85,185525.808895841,11732.5,3250
5839,15,6,39,340,610,475,2209.66262077841,90,214334.000674863,12252.5,3250
5857,15,7,17,335,615,475,1274.49314586321,90,128808.096297219,11372.5,3430
5859,15,7,19,350,630,480,1354.05673601575,85,132345.028752252,11452.5,3430
5862,15,7,22,340,605,470,3867.06652416749,85,370734.067740159,11572.5,3430
5865,15,7,25,425,745,560,330.613906177245,105,38224.383115176,11692.5,3430
5866,15,7,26,305,620,475,2800.37524077347,95,291318.258897819,11732.5,3430
5871,15,7,31,335,610,475,1025.24260036779,85,99470.0869074795,11932.5,3430
5875,15,7,35,345,690,485,353.973377257106,90,39072.3734165775,12092.5,3430
5878,15,7,38,330,610,465,4276.55107103168,90,409863.05640641,12212.5,3430
5887,15,8,7,350,625,485,2851.39769394257,95,284589.40509955,10972.5,3610
5902,15,8,22,365,625,485,936.63568753875,90,92218.1677829793,11572.5,3610
5904,15,8,24,360,630,490,1335.64800396041,90,130428.074872457,11652.5,3610
5938,15,9,18,360,640,495,3906.67426601337,90,388257.301670398,11412.5,3790
5940,15,9,20,355,640,500,1835.45976849635,95,188892.459705846,11492.5,3790
5952,15,9,32,380,640,505,1929.71566812323,90,184012.521116109,11972.5,3790
5959,15,9,39,375,645,505,3271.62246235406,90,320119.83825497,12252.5,3790
5962,15,10,2,395,680,515,899.110525414625,95,92424.1387264055,10772.5,3970
